date,retail_price
2018-12-31,3.11
2019-01-07,3.069
2019-01-14,3.049
2019-01-21,3.037
2019-01-28,3.05
2019-02-04,3.038
2019-02-11,3.031
2019-02-18,3.073
2019-02-25,3.094
2019-03-04,3.119
2019-03-11,3.123
2019-03-18,3.124
2019-03-25,3.132
2019-04-01,3.127
2019-04-08,3.137
2019-04-15,3.153
2019-04-22,3.174
2019-04-29,3.194
2019-05-06,3.19
2019-05-13,3.176
2019-05-20,3.176
2019-05-27,3.164
2019-06-03,3.153
2019-06-10,3.125
2019-06-17,3.099
2019-06-24,3.079
2019-07-01,3.08
2019-07-08,3.081
2019-07-15,3.08
2019-07-22,3.072
2019-07-29,3.059
2019-08-05,3.055
2019-08-12,3.034
2019-08-19,3.019
2019-08-26,3.003
2019-09-02,3.0
2019-09-09,2.992
2019-09-16,2.998
2019-09-23,3.083
2019-09-30,3.065
2019-10-07,3.041
2019-10-14,3.044
2019-10-21,3.045
2019-10-28,3.056
2019-11-04,3.041
2019-11-11,3.05
2019-11-18,3.053
2019-11-25,3.054
2019-12-02,3.059
2019-12-09,3.05
2019-12-16,3.053
2019-12-23,3.052
2019-12-30,3.096
2020-01-06,3.12
2020-01-13,3.111
2020-01-20,3.075
2020-01-27,3.047
2020-02-03,3.003
2020-02-10,2.962
2020-02-17,2.94
2020-02-24,2.931
2020-03-02,2.898
2020-03-09,2.86
2020-03-16,2.789
2020-03-23,2.724
2020-03-30,2.671
2020-04-06,2.634
2020-04-13,2.599
2020-04-20,2.576
2020-04-27,2.545
2020-05-04,2.51
2020-05-11,2.498
2020-05-18,2.491
2020-05-25,2.498
2020-06-01,2.492
2020-06-08,2.501
2020-06-15,2.501
2020-06-22,2.515
2020-06-29,2.524
2020-07-06,2.527
2020-07-13,2.531
2020-07-20,2.52
2020-07-27,2.519
2020-08-03,2.517
2020-08-10,2.514
2020-08-17,2.508
2020-08-24,2.506
2020-08-31,2.519
2020-09-07,2.511
2020-09-14,2.499
2020-09-21,2.486
2020-09-28,2.473
2020-10-05,2.473
2020-10-12,2.473
2020-10-19,2.465
2020-10-26,2.461
2020-11-02,2.444
2020-11-09,2.45
2020-11-16,2.487
2020-11-23,2.506
2020-11-30,2.54
2020-12-07,2.573
2020-12-14,2.603
2020-12-21,2.652
2020-12-28,2.659
2021-01-04,2.667
2021-01-11,2.719
2021-01-18,2.747
2021-01-25,2.763
2021-02-01,2.791
2021-02-08,2.845
2021-02-15,2.898
2021-02-22,3.001
2021-03-01,3.083
2021-03-08,3.116
2021-03-15,3.148
2021-03-22,3.152
2021-03-29,3.13
2021-04-05,3.114
2021-04-12,3.1
2021-04-19,3.096
2021-04-26,3.093
2021-05-03,3.113
2021-05-10,3.16
2021-05-17,3.228
2021-05-24,3.235
2021-05-31,3.239
2021-06-07,3.259
2021-06-14,3.275
2021-06-21,3.275
2021-06-28,3.29
2021-07-05,3.306
2021-07-12,3.312
2021-07-19,3.312
2021-07-26,3.311
2021-08-02,3.332
2021-08-09,3.328
2021-08-16,3.316
2021-08-23,3.297
2021-08-30,3.306
2021-09-06,3.332
2021-09-13,3.337
2021-09-20,3.352
2021-09-27,3.371
2021-10-04,3.436
2021-10-11,3.562
2021-10-18,3.655
2021-10-25,3.704
2021-11-01,3.717
2021-11-08,3.712
2021-11-15,3.707
2021-11-22,3.69
2021-11-29,3.684
2021-12-06,3.658
2021-12-13,3.633
2021-12-20,3.611
2021-12-27,3.602
2022-01-03,3.604
2022-01-10,3.645
2022-01-17,3.719
2022-01-24,3.781
2022-01-31,3.852
2022-02-07,3.971
2022-02-14,4.063
2022-02-21,4.112
2022-02-28,4.161
2022-03-07,4.97
2022-03-14,5.334
2022-03-21,5.179
2022-03-28,5.249
2022-04-04,5.206
2022-04-11,5.128
2022-04-18,5.151
2022-04-25,5.209
2022-05-02,5.701
2022-05-09,5.907
2022-05-16,5.944
2022-05-23,5.905
2022-05-30,5.848
2022-06-06,5.922
2022-06-13,5.852
2022-06-20,5.883
2022-06-27,5.814
2022-07-04,5.713
2022-07-11,5.6
2022-07-18,5.467
2022-07-25,5.299
2022-08-01,5.181
2022-08-08,5.037
2022-08-15,4.95
2022-08-22,4.922
2022-08-29,5.066
2022-09-05,5.033
2022-09-12,4.949
2022-09-19,4.889
2022-09-26,4.836
2022-10-03,4.797
2022-10-10,5.13
2022-10-17,5.35
2022-10-24,5.379
2022-10-31,5.4
2022-11-07,5.473
2022-11-14,5.474
2022-11-21,5.411
2022-11-28,5.336
2022-12-05,5.191
2022-12-12,5.007
2022-12-19,4.847
2022-12-26,4.808
2023-01-02,4.852
2023-01-09,4.812
2023-01-16,4.752
2023-01-23,4.81
2023-01-30,4.835
2023-02-06,4.752
2023-02-13,4.653
2023-02-20,4.572
2023-02-27,4.446
2023-03-06,4.409
2023-03-13,4.36
2023-03-20,4.309
2023-03-27,4.241
2023-04-03,4.226
2023-04-10,4.199
2023-04-17,4.198
2023-04-24,4.151
2023-05-01,4.073
2023-05-08,3.986
2023-05-15,3.932
2023-05-22,3.912
2023-05-29,3.886
2023-06-05,3.847
2023-06-12,3.86
2023-06-19,3.866
2023-06-26,3.853
2023-07-03,3.811
2023-07-10,3.858
2023-07-17,3.879
2023-07-24,3.971
2023-07-31,4.153
2023-08-07,4.248
2023-08-14,4.402
2023-08-21,4.422
2023-08-28,4.475
2023-09-04,4.474
2023-09-11,4.479
2023-09-18,4.537
2023-09-25,4.525
2023-10-02,4.542
2023-10-09,4.458
2023-10-16,4.404
2023-10-23,4.408
2023-10-30,4.342
2023-11-06,4.294
2023-11-13,4.22
2023-11-20,4.155
2023-11-27,4.121
2023-12-04,4.139
2023-12-11,4.05
2023-12-18,3.969
2023-12-25,4.022
2024-01-01,4.002
